id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
qM001,choice,迈克尔孙干涉仪实验,干涉原理,2,迈克尔孙干涉仪中，两束相干光的光程差每改变______，干涉条纹就会移动一条。,λ/2,λ,2λ,λ/4,A,,,迈克尔孙干涉仪中，动镜每移动λ/2的距离，两束光的光程差就会改变λ，对应干涉条纹移动一条。,迈克尔孙干涉仪;光程差;条纹移动;λ/2,实验讲义PDF,,,,
qM002,choice,迈克尔孙干涉仪实验,仪器调节,1,调节迈克尔孙干涉仪时，首先要完成的操作是：,调节动镜位置,调节定镜的俯仰螺丝,调节激光束的入射方向,安装扩束镜,C,,,调节迈克尔孙干涉仪的第一步是调节激光束的入射方向，使激光束垂直入射到分束镜上，保证两束光的光路对称。,迈克尔孙干涉仪;仪器调节;激光入射方向,实验讲义PDF,,,,
qM003,fill,迈克尔孙干涉仪实验,波长测量,2,用迈克尔孙干涉仪测量激光波长时，若动镜移动距离为d，条纹移动数为N，则激光波长λ的计算公式为______。,,,,,λ=2d/N,1.0,填写公式,动镜每移动λ/2，条纹移动1条，因此d = N·(λ/2)，整理得λ=2d/N。,迈克尔孙干涉仪;波长测量;λ=2d/N,实验讲义PDF,,,,
qM004,choice,迈克尔孙干涉仪实验,干涉条纹,3,当迈克尔孙干涉仪的定镜和动镜严格垂直时，观察到的干涉条纹是：,等厚干涉直条纹,等倾干涉同心圆环,双曲线形条纹,椭圆形条纹,B,,,当定镜和动镜严格垂直时，两束相干光的光程差仅由入射光的倾角决定，形成等倾干涉的同心圆环条纹。,迈克尔孙干涉仪;等倾干涉;同心圆环,实验讲义PDF,,,,
qM005,fill,迈克尔孙干涉仪实验,仪器结构,1,迈克尔孙干涉仪的核心光学元件包括分束镜、______、定镜和动镜。,,,,,补偿镜,1.0,填写元件名称,补偿镜的作用是补偿两束相干光在玻璃介质中的光程差，保证两束光的光程差仅由空气路径决定。,迈克尔孙干涉仪;核心元件;补偿镜,实验讲义PDF,,,,
qG001,choice,光栅衍射实验,光栅方程,2,光栅衍射的主极大条件（光栅方程）为：,d·sinθ=kλ,d·cosθ=kλ,d·sinθ=(2k+1)λ/2,d·cosθ=(2k+1)λ/2,A,,,光栅衍射主极大的条件是相邻两缝的衍射光光程差为波长的整数倍，即d·sinθ=kλ，其中d为光栅常数，k为衍射级次。,光栅衍射;光栅方程;d·sinθ=kλ,实验讲义PDF,,,,
qG002,choice,光栅衍射实验,仪器调节,1,在光栅衍射实验中，调节分光计时，首先要调节的是：,平行光管,望远镜,载物台,光栅位置,B,,,分光计的调节顺序是先调节望远镜，使望远镜聚焦于无穷远，再调节平行光管，最后调节载物台和光栅。,光栅衍射;分光计调节;望远镜,实验讲义PDF,,,,
qG003,fill,光栅衍射实验,光栅常数,2,若光栅的刻线密度为N条/毫米，则光栅常数d的计算公式为______毫米。,,,,,d=1/N,1.0,填写公式,光栅常数是相邻两缝的间距，刻线密度为N条/毫米时，每毫米有N个缝，因此相邻缝间距d=1/N毫米。,光栅衍射;光栅常数;刻线密度,实验讲义PDF,,,,
qG004,choice,光栅衍射实验,衍射级次,3,用波长为589.3nm的钠黄光垂直入射到光栅常数为2μm的光栅上，能观察到的最高衍射级次为：,2级,3级,4级,5级,B,,,根据光栅方程d·sinθ=kλ，sinθ的最大值为1，因此k_max=d/λ=2e-6m/589.3e-9m≈3.39，取整数为3级。,光栅衍射;最高衍射级次;光栅方程,实验讲义PDF,,,,
qG005,fill,光栅衍射实验,缺级现象,2,光栅衍射中，当光栅常数d与缝宽a的比值为整数时，会发生______现象。,,,,,缺级,1.0,填写现象名称,当d/a为整数时，光栅衍射的主极大位置恰好与单缝衍射的极小位置重合，导致该级次的主极大消失，称为缺级现象。,光栅衍射;缺级现象;d/a比值,实验讲义PDF,,,,
qP001,choice,光的偏振实验,马吕斯定律,2,马吕斯定律的表达式为：,I=I?·cos2θ,I=I?·sin2θ,I=I?·cosθ,I=I?·sinθ,A,,,马吕斯定律描述了线偏振光通过偏振片后，透射光强与入射光强、偏振片透振方向夹角的关系，表达式为I=I?·cos2θ。,光的偏振;马吕斯定律;I=I?·cos2θ,实验讲义PDF,,,,
qP002,choice,光的偏振实验,偏振片,1,偏振片的作用是：,产生线偏振光,检验线偏振光,产生和检验线偏振光,改变光的波长,C,,,偏振片既可以作为起偏器，将自然光变为线偏振光；也可以作为检偏器，检验入射光是否为线偏振光。,光的偏振;偏振片;起偏器;检偏器,实验讲义PDF,,,,
qP003,fill,光的偏振实验,布儒斯特定律,2,布儒斯特定律的表达式为______，其中i_B为布儒斯特角，n?为折射介质的折射率。,,,,,tani_B=n?/n?,1.0,填写公式,布儒斯特定律描述了自然光以布儒斯特角入射到两种介质的分界面时，反射光为线偏振光，其振动方向垂直于入射面，表达式为tani_B=n?/n?。,光的偏振;布儒斯特定律;布儒斯特角,实验讲义PDF,,,,
qP004,choice,光的偏振实验,波片,3,1/4波片的作用是：,将线偏振光变为圆偏振光,将圆偏振光变为线偏振光,改变线偏振光的振动方向,以上都是,D,,,1/4波片可以使o光和e光产生λ/4的光程差，当线偏振光的振动方向与波片光轴成45°时，出射光为圆偏振光；反之，圆偏振光通过1/4波片后变为线偏振光；也可以通过旋转波片改变线偏振光的振动方向。,光的偏振;1/4波片;圆偏振光;线偏振光,实验讲义PDF,,,,
qP005,fill,光的偏振实验,偏振态,1,光的偏振态分为自然光、部分偏振光、______、椭圆偏振光和圆偏振光。,,,,,线偏振光,1.0,填写偏振态名称,光的偏振态根据电场矢量的振动规律分为五类：自然光、部分偏振光、线偏振光、椭圆偏振光和圆偏振光。,光的偏振;偏振态;线偏振光,实验讲义PDF,,,,
qD001,choice,直流电桥实验,惠斯通电桥原理,2,惠斯通电桥的平衡条件为：,R?/R?=R?/R?,R?/R?=R?/R?,R?·R?=R?·R?,R?+R?=R?+R?,A,,,惠斯通电桥平衡时，桥臂两端的电位相等，检流计中无电流通过，此时四个桥臂的电阻满足R?/R?=R?/R?的关系。,直流电桥;惠斯通电桥;平衡条件,实验讲义PDF,,,,
qD002,choice,直流电桥实验,仪器操作,1,使用惠斯通电桥测量电阻时，首先要进行的操作是：,接入被测电阻,调节比例臂,检流计调零,接通电源,C,,,使用惠斯通电桥的第一步是对检流计进行调零，确保检流计在无电流通过时指针指零，避免测量误差。,直流电桥;惠斯通电桥;检流计调零,实验讲义PDF,,,,
qD003,fill,直流电桥实验,比例臂,2,惠斯通电桥中，比例臂的作用是确定被测电阻的______。,,,,,数量级,1.0,填写作用,比例臂是电桥中两个固定电阻的比值，用于确定被测电阻的数量级，再通过调节比较臂的电阻值，使电桥达到平衡，从而得到被测电阻的准确值。,直流电桥;惠斯通电桥;比例臂;数量级,实验讲义PDF,,,,
qD004,choice,直流电桥实验,测量误差,3,惠斯通电桥测量电阻时，下列哪种因素不会引起系统误差？,桥臂电阻的标称值误差,检流计的灵敏度不足,电源电压的波动,测量时的环境温度变化,C,,,惠斯通电桥的平衡条件与电源电压无关，只要电源电压稳定，不会因电压波动引起系统误差；而桥臂电阻误差、检流计灵敏度、温度变化都会引起系统误差。,直流电桥;惠斯通电桥;系统误差,实验讲义PDF,,,,
qD005,fill,直流电桥实验,电桥类型,1,惠斯通电桥属于______电桥，主要用于测量中值电阻。,,,,,直流单臂,1.0,填写电桥类型,惠斯通电桥是直流单臂电桥，适用于测量1Ω~1MΩ范围内的中值电阻；对于低值电阻，通常使用直流双臂电桥（开尔文电桥）。,直流电桥;惠斯通电桥;直流单臂电桥,实验讲义PDF,,,,
qS001,choice,声速的测量,共振干涉法,2,用共振干涉法测量声速时，相邻两个共振峰之间的距离为：,λ/2,λ,2λ,λ/4,A,,,共振干涉法中，当发射换能器和接收换能器之间的距离为半波长的整数倍时，会发生共振，形成驻波，相邻两个共振峰之间的距离为λ/2。,声速测量;共振干涉法;驻波;λ/2,实验讲义PDF,,,,
qS002,choice,声速的测量,仪器调节,1,在声速测量实验中，首先要调节的是：,接收换能器的位置,发射换能器的驱动频率,示波器的扫描速度,信号发生器的输出电压,B,,,声速测量的第一步是调节发射换能器的驱动频率，使其等于换能器的谐振频率，此时换能器的发射效率最高，接收信号最强。,声速测量;换能器;谐振频率,实验讲义PDF,,,,
qS003,fill,声速的测量,声速计算,2,用共振干涉法测量声速时，若测得相邻n个共振峰之间的距离为L，信号频率为f，则声速v的计算公式为______。,,,,,v=2fL/(n-1),1.0,填写公式,相邻n个共振峰之间有(n-1)个半波长间隔，因此L=(n-1)·(λ/2)，λ=2L/(n-1)，再由v=λf得v=2fL/(n-1)。,声速测量;共振干涉法;声速计算公式,实验讲义PDF,,,,
qS004,choice,声速的测量,相位比较法,3,用相位比较法测量声速时，当发射波和接收波的相位差为______时，示波器上的李萨如图形为一条直线。,0°或180°,90°,45°,270°,A,,,相位比较法中，将发射波和接收波分别输入示波器的X轴和Y轴，当相位差为0°或180°时，李萨如图形为一条直线；相位差为90°时为正椭圆。,声速测量;相位比较法;李萨如图形;相位差,实验讲义PDF,,,,
qS005,fill,声速的测量,影响因素,1,空气中的声速主要受______的影响，温度越高，声速越大。,,,,,温度,1.0,填写影响因素,空气中的声速与温度的关系为v=331.45√(1+T/273.15) m/s，其中T为摄氏温度，温度越高，声速越大。,声速测量;声速影响因素;温度,实验讲义PDF,,,,
qE001,choice,用静态拉伸法测量材料的弹性模量,光杠杆,2,光杠杆放大法中，微小伸长量ΔL与标尺位移Δx的关系为：,ΔL=b·Δx/D,ΔL=b·Δx/(2D),ΔL=2b·Δx/D,ΔL=D·Δx/b,B,,,放大倍数β=2D/b，故ΔL=b·Δx/(2D)。b为光杠杆前后足间距，D为镜面到标尺距离。,光杠杆;放大公式;ΔL=bΔx/(2D),实验讲义PDF,,,,
qE002,choice,用静态拉伸法测量材料的弹性模量,望远镜调焦,1,调节望远镜时，正确的调焦顺序是：,先调物镜看清标尺像，再调目镜看清十字叉丝,先调目镜看清十字叉丝，再调物镜看清标尺像,只调物镜即可,只调目镜即可,B,,,必须先调目镜使十字叉丝清晰（固定目镜焦距），再调物镜使标尺像清晰。顺序颠倒则叉丝和标尺无法同时清晰。,望远镜调焦;先目镜后物镜;操作顺序,实验讲义PDF,,,,
qE003,fill,用静态拉伸法测量材料的弹性模量,杨氏模量,2,杨氏模量Y的计算公式中，直径d的幂指数为______，其灵敏系数的绝对值为______。,,,,,-2||2,1.0,填写数值,Y∝1/d2，lnY中-2lnd的系数为-2，传递时灵敏系数取绝对值2，贡献为(2ur(d))2，放大4倍。,杨氏模量;直径幂指数;-2,实验讲义PDF,,,,
qE004,choice,用静态拉伸法测量材料的弹性模量,逐差法,3,对于逐差法处理杨氏模量数据，说法正确的是：,逐差法比最小二乘法更精确,逐差法仅适用于等间距加力且线性关系的数据,逐差法可以替代最小二乘法完成不确定度评定,逐差法不需要自变量等间距,B,,,逐差法要求自变量等间距和线性关系。但拉伸法实验中推荐使用最小二乘法，因为它使用全部数据点并能给出不确定度。,逐差法;等间距;最小二乘法对比,实验讲义PDF,,,,
qE005,fill,用静态拉伸法测量材料的弹性模量,预拉力,1,拉伸法测杨氏模量实验中，给金属丝施加预拉力30.0N的主要目的是______。,,,,,消除金属丝的弯曲，使之伸直,1.0,填写目的,预拉力30N使金属丝从弯曲状态变直，确保后续加载过程中应力-应变关系从弹性区起点开始。保护金属丝在弹性范围内工作。,预拉力;30N;金属丝伸直,实验讲义PDF,,,,
qO001,choice,数字存储示波器的使用,示波器原理,2,示波器的核心功能是：,测量电信号的频率,测量电信号的幅度,显示电信号随时间变化的波形,测量电信号的相位差,C,,,示波器的核心功能是将电信号转换为可视化的波形，显示电信号随时间变化的规律，在此基础上可以测量频率、幅度、相位差等参数。,示波器;核心功能;波形显示,实验讲义PDF,,,,
qO002,choice,数字存储示波器的使用,仪器操作,1,使用示波器时，首先要进行的操作是：,接入被测信号,调节垂直灵敏度,示波器自检和校准,调节水平扫描速度,C,,,使用示波器的第一步是进行自检和校准，确保示波器的垂直和水平通道的增益、扫描速度等参数准确，避免测量误差。,示波器;自检;校准,实验讲义PDF,,,,
qO003,fill,数字存储示波器的使用,参数测量,2,用示波器测量正弦信号的频率时，若测得信号的周期为T，则频率f的计算公式为______。,,,,,f=1/T,1.0,填写公式,频率是周期的倒数，即f=1/T，其中T为信号的周期，单位为秒，f的单位为赫兹。,示波器;频率测量;f=1/T,实验讲义PDF,,,,
qO004,choice,数字存储示波器的使用,触发方式,3,为了稳定显示周期性信号，示波器应选择的触发方式是：,自动触发,正常触发,单次触发,以上都可以,B,,,正常触发模式下，示波器仅在满足触发条件时才进行扫描，对于周期性信号，每次扫描的起点都相同，因此可以稳定显示波形；自动触发模式在没有触发信号时也会扫描，波形会不稳定；单次触发仅捕获一次波形。,示波器;触发方式;正常触发;波形稳定,实验讲义PDF,,,,
qO005,fill,数字存储示波器的使用,垂直灵敏度,1,示波器的垂直灵敏度单位是______，表示屏幕上每一格对应的电压值。,,,,,V/div,1.0,填写单位,示波器的垂直灵敏度单位是V/div（伏每格），表示屏幕上垂直方向每一格对应的电压值，调节垂直灵敏度可以改变波形的显示幅度。,示波器;垂直灵敏度;V/div,实验讲义PDF,,,,
qF001,choice,分光计的调整及使用,分光计结构,2,分光计的核心组成部分包括：,望远镜、平行光管、载物台、读数装置,望远镜、显微镜、载物台、读数装置,平行光管、狭缝、载物台、读数装置,望远镜、平行光管、光源、读数装置,A,,,分光计的核心组成部分包括望远镜（观察和定位光线）、平行光管（产生平行光）、载物台（放置光学元件）和读数装置（测量角度）。,分光计;核心结构;望远镜;平行光管,实验讲义PDF,,,,
qF002,choice,分光计的调整及使用,仪器调节,1,分光计调节的第一步是：,调节平行光管,调节望远镜聚焦于无穷远,调节载物台水平,调节狭缝宽度,B,,,分光计调节的第一步是调节望远镜，使其聚焦于无穷远，能够清晰观察平行光，这是后续调节的基础。,分光计;调节顺序;望远镜聚焦,实验讲义PDF,,,,
qF003,fill,分光计的调整及使用,角度测量,2,分光计的读数装置中，主尺的最小刻度为0.5°，游标尺的最小刻度为______。,,,,,1',1.0,填写刻度值,分光计的游标尺通常为30分度，主尺最小刻度为0.5°（30'），因此游标尺的最小刻度为30'/30=1'。,分光计;读数装置;游标尺;1',实验讲义PDF,,,,
qF004,choice,分光计的调整及使用,平行光管调节,3,调节平行光管时，正确的操作是：,调节狭缝宽度，使狭缝像最宽,调节平行光管的焦距，使狭缝像清晰地成在望远镜的焦平面上,调节平行光管的俯仰，使狭缝像与望远镜的十字叉丝重合,以上都是,B,,,调节平行光管的核心是调节其焦距，使狭缝发出的光经过平行光管后成为平行光，此时狭缝像会清晰地成在望远镜的焦平面上；狭缝宽度应调节到合适的大小，不是越宽越好；俯仰调节是为了使平行光管的光轴与望远镜的光轴同轴，不是与十字叉丝重合。,分光计;平行光管调节;焦距;平行光,实验讲义PDF,,,,
qF005,fill,分光计的调整及使用,载物台调节,1,调节载物台水平时，通常使用______法，使载物台的三个调节螺丝分别对应两个垂直的方向。,,,,,逐次逼近,1.0,填写方法名称,调节载物台水平时，通常使用逐次逼近法，先调节两个螺丝使一个方向水平，再调节第三个螺丝使另一个垂直的方向水平，反复调节直到载物台完全水平。,分光计;载物台调节;逐次逼近法,实验讲义PDF,,,,
qT001,choice,大学物理实验理论课,测量误差,2,测量误差分为系统误差和随机误差，下列关于系统误差的说法正确的是：,系统误差是由偶然因素引起的，不可避免,系统误差可以通过多次测量取平均值来消除,系统误差是由测量仪器、方法、环境等固定因素引起的，具有确定性,系统误差的大小和方向都是随机变化的,C,,,系统误差是由测量仪器的精度、测量方法的不完善、环境因素的固定影响等引起的，具有确定性和可重复性，不能通过多次测量取平均值来消除；随机误差是由偶然因素引起的，大小和方向随机变化，可以通过多次测量取平均值来减小。,测量误差;系统误差;随机误差,实验讲义PDF,,,,
qT002,choice,大学物理实验理论课,有效数字,1,下列关于有效数字的说法正确的是：,有效数字的位数越多，测量结果越精确,有效数字的位数与测量仪器的精度无关,有效数字的最后一位是不确定的，是估读位,有效数字的位数越多，测量结果的误差越大,C,,,有效数字是指在测量中能够准确读取的数字，最后一位是估读的，是不确定的；有效数字的位数反映了测量仪器的精度，位数越多，测量结果越精确，误差越小。,有效数字;估读位;测量精度,实验讲义PDF,,,,
qT003,fill,大学物理实验理论课,不确定度,2,测量结果的不确定度分为A类不确定度和B类不确定度，A类不确定度是由______引起的，用统计方法计算。,,,,,随机误差,1.0,填写误差类型,A类不确定度是由随机误差引起的，通过对多次测量结果进行统计分析来计算，通常用标准偏差来表示；B类不确定度是由系统误差引起的，通过非统计方法来估算。,不确定度;A类不确定度;随机误差,实验讲义PDF,,,,
qT004,choice,大学物理实验理论课,数据处理,3,对于线性关系的实验数据，下列哪种数据处理方法可以得到最精确的拟合结果？,逐差法,最小二乘法,作图法,平均值法,B,,,最小二乘法是一种基于统计理论的线性拟合方法，它通过最小化残差的平方和来确定拟合直线的参数，能够充分利用所有的测量数据，得到最精确的拟合结果，同时可以给出拟合参数的不确定度；逐差法仅适用于等间距的线性数据，作图法和平均值法的精度都低于最小二乘法。,数据处理;线性拟合;最小二乘法,实验讲义PDF,,,,
qT005,fill,大学物理实验理论课,实验报告,1,一份完整的大学物理实验报告通常包括实验名称、实验目的、实验原理、实验仪器、实验内容与步骤、______、实验结论与讨论等部分。,,,,,数据处理与结果分析,1.0,填写报告部分,实验报告的核心部分是数据处理与结果分析，这部分需要对实验中测得的数据进行整理、计算、拟合和不确定度分析，是得出实验结论的基础。,实验报告;数据处理;结果分析,实验讲义PDF,,,,
qMS001,choice,力学传感器及其应用,传感器原理,2,力学传感器的核心功能是：,将力学量转换为电信号,将电信号转换为力学量,测量电信号的大小,测量力学量的大小,A,,,力学传感器是一种换能器，其核心功能是将力、压力、扭矩、加速度等力学量转换为可测量的电信号，从而实现力学量的电测。,力学传感器;换能器;力学量转电信号,实验讲义PDF,,,,
qMS002,choice,力学传感器及其应用,应变片,1,电阻应变片的工作原理是基于：,压电效应,电阻应变效应,热电效应,电磁感应,B,,,电阻应变片的工作原理是电阻应变效应，即导体或半导体的电阻值随其机械变形（应变）的大小而发生变化的现象。,电阻应变片;应变效应;工作原理,实验讲义PDF,,,,
qMS003,fill,力学传感器及其应用,灵敏度,2,力学传感器的灵敏度是指______与______的比值，反映了传感器对力学量变化的响应能力。,,,,,输出电信号变化量;输入力学量变化量,1.0,填写定义,传感器的灵敏度S=Δy/Δx，其中Δy是输出电信号的变化量，Δx是输入力学量的变化量，灵敏度越高，传感器对微小的力学量变化越敏感。,力学传感器;灵敏度;定义,实验讲义PDF,,,,
qMS004,choice,力学传感器及其应用,电桥电路,3,应变片式力学传感器通常采用惠斯通电桥电路，其主要目的是：,提高传感器的灵敏度,补偿温度变化引起的零点漂移,将应变片的电阻变化转换为电压信号,以上都是,D,,,惠斯通电桥电路可以将应变片的微小电阻变化转换为可测量的电压信号；通过采用差动电桥结构，可以提高传感器的灵敏度；同时，通过在相邻桥臂接入相同的应变片，可以补偿温度变化引起的零点漂移，减小测量误差。,力学传感器;惠斯通电桥;灵敏度;温度补偿,实验讲义PDF,,,,
qMS005,fill,力学传感器及其应用,校准,1,力学传感器使用前必须进行______，以确定传感器的输入力学量与输出电信号之间的对应关系，消除系统误差。,,,,,校准,1.0,填写操作名称,校准是传感器使用前的必要步骤，通过输入已知的标准力学量，测量对应的输出电信号，建立输入与输出的校准曲线，从而可以根据输出信号准确计算出被测力学量的大小，消除系统误差。,力学传感器;校准;系统误差,实验讲义PDF,,,,
qH001,choice,光学全息实验,全息原理,2,光学全息术的核心原理是：,光的干涉和衍射,光的反射和折射,光的偏振和色散,光的吸收和散射,A,,,光学全息术分为记录和再现两个过程，记录过程利用光的干涉，将物体光波的振幅和相位信息以干涉条纹的形式记录在全息干板上；再现过程利用光的衍射，通过参考光照射全息图，再现出物体的三维光波。,光学全息;干涉;衍射;全息原理,实验讲义PDF,,,,
qH002,choice,光学全息实验,全息记录,1,在全息记录过程中，需要用到的两束相干光是：,物光和参考光,入射光和反射光,透射光和衍射光,o光和e光,A,,,全息记录过程中，激光束被分为两束，一束照射物体，经物体反射或透射后成为物光，携带物体的振幅和相位信息；另一束直接照射全息干板，作为参考光；两束光在全息干板上发生干涉，形成干涉条纹，记录下物光的全部信息。,全息记录;物光;参考光;相干光,实验讲义PDF,,,,
qH003,fill,光学全息实验,全息再现,2,全息再现过程中，用______照射全息图，就可以再现出物体的三维虚像。,,,,,参考光,1.0,填写光的名称,全息图上的干涉条纹相当于一个复杂的光栅，当用记录时的参考光照射全息图时，会发生衍射，其中+1级衍射光会再现出与原物光完全相同的光波，从而可以观察到物体的三维虚像。,全息再现;参考光;三维虚像,实验讲义PDF,,,,
qH004,choice,光学全息实验,全息特点,3,下列关于光学全息的特点，说法错误的是：,全息图可以再现出物体的三维立体像，具有视差效应,全息图的每一部分都可以再现出整个物体的像,全息图的再现像的亮度和清晰度与参考光的强度无关,一张全息干板可以记录多个不同物体的全息图,C,,,全息图的再现像的亮度与参考光的强度成正比，参考光强度越大，再现像越亮；而再现像的清晰度与全息图的分辨率、记录过程的稳定性等因素有关，与参考光强度无关。其他选项都是光学全息的正确特点。,光学全息;全息特点;三维像;视差效应,实验讲义PDF,,,,
qH005,fill,光学全息实验,实验要求,1,全息记录过程中，必须保证整个光学系统的______，否则会导致干涉条纹模糊，无法记录清晰的全息图。,,,,,稳定性,1.0,填写系统要求,全息记录的是微米级的干涉条纹，实验过程中，光学系统的任何微小振动、位移都会导致干涉条纹的移动和模糊，因此必须保证整个光学系统的稳定性，通常需要在防震光学平台上进行实验。,光学全息;系统稳定性;防震平台,实验讲义PDF,,,,
