id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source
q001,choice,模块1-数据预处理与关联规则,数据预处理分类,1,数据预处理的四大类方法不包括以下哪一项？,数据清理,数据集成,数据加密,数据规约,C,0.0,,数据预处理四大类为：数据清理、数据集成、数据变换、数据规约。数据加密属于安全领域，不属于数据预处理范畴。,"数据预处理,四大类",模块1
q002,choice,模块1-数据预处理与关联规则,四分位极差IQR,1,四分位极差IQR的计算公式是？,$IQR = Q_2 - Q_1$,$IQR = Q_3 - Q_1$,$IQR = Q_3 - Q_2$,$IQR = Q_4 - Q_1$,B,0.0,,IQR（四分位极差）定义为第三四分位数减去第一四分位数，即 $IQR = Q_3 - Q_1$，用于衡量数据的离散程度。,"IQR,四分位极差",模块1
q003,choice,模块1-数据预处理与关联规则,离群点判定,2,使用IQR方法判定离群点时，正常数据范围的下界和上界分别是？,$Q_1-1.5 \times IQR$ 到 $Q_3+1.5 \times IQR$,$Q_1-1.0 \times IQR$ 到 $Q_3+1.0 \times IQR$,$Q_2-1.5 \times IQR$ 到 $Q_2+1.5 \times IQR$,$Q_1-2.0 \times IQR$ 到 $Q_3+2.0 \times IQR$,A,0.0,,IQR离群点判定标准：下界为 $Q_1-1.5 \times IQR$，上界为 $Q_3+1.5 \times IQR$，落在该范围之外的数据点被视为离群点。,"离群点,IQR,异常检测",模块1
q004,choice,模块1-数据预处理与关联规则,分箱法,1,以下哪一项不是分箱法的三种基本方式之一？,等宽分箱,等深分箱,等距分箱,等比分箱,D,0.0,,分箱法的三种基本方式为：等宽分箱（区间宽度相同）、等深分箱（每箱数据量相同）、等距分箱（区间间距相同）。等比分箱不属于基本分箱方式。,"分箱法,等宽,等深,等距",模块1
q005,choice,模块1-数据预处理与关联规则,关联规则支持度,1,关联规则中项集X的支持度s(X)的计算公式是？,$s(X) = \sigma(X) / N$,$s(X) = \sigma(X) / \sigma(Y)$,$s(X) = N / \sigma(X)$,$s(X) = \sigma(X \cup Y) / \sigma(X)$,A,0.0,,支持度 $s(X) = \sigma(X) / N$，其中 $\sigma(X)$ 是包含项集X的事务数，N是总事务数。选项D是置信度公式。,"支持度,关联规则",模块1
q006,choice,模块1-数据预处理与关联规则,关联规则置信度,1,关联规则 $X \rightarrow Y$ 的置信度c的计算公式是？,$c = \sigma(X) / \sigma(Y)$,$c = \sigma(X \cup Y) / \sigma(X)$,$c = \sigma(X \cup Y) / N$,$c = \sigma(Y) / \sigma(X \cup Y)$,B,0.0,,置信度 $c(X \rightarrow Y) = \sigma(X \cup Y) / \sigma(X)$，表示在X出现的条件下Y也出现的概率。选项C是支持度公式。,"置信度,关联规则",模块1
q007,choice,模块1-数据预处理与关联规则,提升度Lift,2,关于提升度Lift的描述，以下哪项是正确的？,Lift=1表示X和Y正相关,Lift=1表示X和Y相互独立,Lift>1表示X和Y负相关,Lift<1表示X和Y正相关,B,0.0,,提升度Lift=1表示X和Y相互独立（即X的出现不影响Y的出现概率）；Lift>1表示正相关；Lift<1表示负相关。,"提升度,Lift,独立,正相关",模块1
q008,choice,模块1-数据预处理与关联规则,关联分析步骤,1,关联规则挖掘的标准流程分为哪两步？,数据清洗→规则评估,发现频繁项集→提取强关联规则,特征选择→模型训练,离散化→聚类分析,B,0.0,,关联规则挖掘分为两步：第一步从数据中找出所有频繁项集（满足最小支持度），第二步从频繁项集中提取满足最小置信度的强关联规则。,"关联分析,频繁项集,强关联规则",模块1
q009,choice,模块1-数据预处理与关联规则,Apriori先验原理,3,Apriori算法的先验原理（Apriori Property）的核心内容是？,频繁项集的超集必然频繁,非频繁项集的超集必然非频繁,非频繁项集的子集可能频繁,频繁项集和非频繁项集没有包含关系,B,0.0,,先验原理：如果一个项集是非频繁的，那么它的所有超集也必然是非频繁的。该原理是Apriori算法剪枝的核心依据，可以大幅减少候选项集数量。,"Apriori,先验原理,剪枝,非频繁项集",模块1
q010,choice,模块1-数据预处理与关联规则,支持度+置信度误导,3,为什么仅靠支持度和置信度来筛选关联规则可能会产生误导？,因为支持度计算需要使用全量数据,因为置信度没有考虑后项Y的全局出现概率,因为支持度总是小于置信度,因为两种指标的计算方式完全相同,B,0.0,,置信度 $conf(X \rightarrow Y) = P(Y|X)$ 只衡量了条件概率，但如果Y本身在全局出现概率就很高（如牛奶），即使X与Y无关，置信度也可能很高。因此需要引入提升度Lift来对比后项全局概率。,"置信度,误导,全局概率,提升度",模块1
q011,choice,模块1-数据预处理与关联规则,Apriori算法瓶颈,3,Apriori算法的主要性能瓶颈是什么？,只能处理数值型数据,需要多次扫描数据库且产生庞大的候选项集,无法处理超过100条事务的数据集,必须事先知道所有频繁项集,B,0.0,,Apriori算法的主要瓶颈：①每生成一层频繁项集都需要扫描一次数据库，导致多次I/O开销；②可能产生庞大的候选项集（尤其是2-项集），占用大量内存和计算资源。,"Apriori,瓶颈,多次扫描,候选项集",模块1
q012,choice,模块1-数据预处理与关联规则,强关联规则条件,3,一条关联规则被称为'强关联规则'需要同时满足什么条件？,只需满足最小支持度,只需满足最小置信度,同时满足最小支持度和最小置信度,同时满足最小支持度、最小置信度和最小提升度,C,0.0,,强关联规则必须同时满足两个条件：支持度 >= 最小支持度阈值（min_sup）且置信度 >= 最小置信度阈值（min_conf）。提升度是额外评估指标，并非强关联规则的定义条件。,"强关联规则,最小支持度,最小置信度",模块1
q013,choice,模块1-数据预处理与关联规则,数据变换vs离散化,3,关于数据变换和数据离散化，以下说法正确的是？,数据变换和数据离散化是完全相同的概念,离散化是数据变换的一种具体形式，将连续值映射为离散区间,数据变换只包括归一化，不包括离散化,离散化是数据清理的一种方法,B,0.0,,数据变换是一个广义概念，包括平滑、聚集、泛化、归一化、离散化等。离散化是数据变换的一种具体形式，通过将连续属性值划分为有限个区间，用区间标签替代实际数值。,"数据变换,离散化,连续值",模块1
q014,choice,模块1-数据预处理与关联规则,提升度综合理解,4,已知规则 $A \rightarrow B$ 的置信度为80%，但B的全局支持度为90%，此时提升度Lift约为？该规则说明了什么？,Lift≈0.89，说明A的出现反而降低了B的发生概率,Lift≈1.13，说明A和B强正相关,Lift=0.80，说明规则无意义,Lift=1.70，说明A和B完全独立,A,0.0,,$Lift = P(B|A) / P(B) = 0.80 / 0.90 \approx 0.89 < 1$，说明A的出现反而降低了B的发生概率，两者呈负相关。这体现了仅看置信度（80%看似很高）产生的误导——B本身出现概率就高达90%。,"提升度,置信度误导,负相关",模块1
q015,choice,模块1-数据预处理与关联规则,数据规约,4,以下哪种方法不属于数据规约？,维规约（如PCA主成分分析）,数量规约（如抽样）,数据压缩,缺失值填充,D,0.0,,数据规约旨在减少数据量但保持数据完整性，包括维规约（PCA、属性子集选择）、数量规约（抽样、聚类）、数据压缩。缺失值填充属于数据清理，不是数据规约。,"数据规约,维规约,数量规约,缺失值填充",模块1
q016,choice,模块1-数据预处理与关联规则,等深分箱与等宽分箱对比,5,关于等宽分箱和等深分箱的对比，以下说法错误的是？,等宽分箱按值的区间宽度均匀划分，每箱值域范围相同,等深分箱每箱包含的数据记录数相同,等宽分箱在数据分布极不均匀时，某些箱可能为空或数据极少,等深分箱要求数据必须服从正态分布,D,0.0,,等深分箱不要求数据服从正态分布，它只保证每箱的记录数相同，与数据分布无关。等宽分箱在数据分布不均时确实可能出现空箱或数据稀疏的问题。,"等宽分箱,等深分箱,数据分布",模块1
q017,choice,模块1-数据预处理与关联规则,先验原理剪枝,1,Apriori算法的先验原理是剪枝的核心依据，即非频繁项集的超集也非频繁，从而减少候选项集数量。,对,错,,,A,0.0,,正确。先验原理正是Apriori算法剪枝的核心：非频繁项集的所有超集必然非频繁，因此无需生成和计算这些超集的支持度。,"先验原理,剪枝,非频繁项集",模块1
q018,choice,模块1-数据预处理与关联规则,置信度局限,2,置信度指标没有考虑后件Y的全局概率，容易产生误导性规则。,对,错,,,A,0.0,,正确。置信度 $P(Y|X)$ 只看条件概率，如果Y本身全局概率很高（如90%），即使X与Y无关，置信度也可能虚高，因此需要引入提升度来对比全局概率。,"置信度,全局概率,误导",模块1
q019,choice,模块1-数据预处理与关联规则,非频繁项集超集,2,根据先验原理，如果一个项集是非频繁的，那么它的所有超集也必然是非频繁的。,对,错,,,A,0.0,,正确。这是先验原理的核心内容。反证：若存在一个超集是频繁的，则根据性质'频繁项集的子集必频繁'，其子集（即原非频繁项集）也应为频繁，矛盾。,"先验原理,非频繁项集,超集",模块1
q020,choice,模块1-数据预处理与关联规则,支持度vs置信度,1,支持度用于衡量关联规则的准确性，即规则在数据中的可信程度。,对,错,,,B,0.0,,错误。支持度衡量规则的普遍性（出现的频率），置信度才是衡量规则准确性（可信程度）的指标。$s = P(XY)$，$c = P(Y|X)$。,"支持度,置信度,准确性,普遍性",模块1
q021,choice,模块1-数据预处理与关联规则,提升度含义,1,提升度Lift=1表示前件X和后件Y之间存在正相关关系。,对,错,,,B,0.0,,错误。Lift=1表示X和Y相互独立，既不正相关也不负相关。Lift>1才是正相关，Lift<1为负相关。,"提升度,Lift,独立",模块1
q022,choice,模块1-数据预处理与关联规则,关联规则挖掘条件,1,关联规则挖掘只需要满足最小支持度即可，不需要考虑置信度。,对,错,,,B,0.0,,错误。关联规则挖掘分为两步：先找频繁项集（满足最小支持度），再提取强关联规则（同时满足最小支持度和最小置信度），两者缺一不可。,"关联规则,最小支持度,最小置信度",模块1
q023,choice,模块1-数据预处理与关联规则,等宽分箱vs等深分箱,2,等宽分箱和等深分箱是同一概念，只是叫法不同。,对,错,,,B,0.0,,错误。等宽分箱按值的区间宽度均匀划分（每箱值域范围相同），等深分箱按记录数均匀划分（每箱数据量相同）。两者划分标准不同，结果也往往不同。,"等宽分箱,等深分箱,区别",模块1
q024,choice,模块1-数据预处理与关联规则,IQR公式,1,四分位极差IQR的计算公式为 $IQR = Q_2 - Q_1$。,对,错,,,B,0.0,,错误。IQR的正确公式为 $IQR = Q_3 - Q_1$（第三四分位数减第一四分位数），而非 $Q_2 - Q_1$。$Q_2$ 是中位数，不参与IQR计算。,"IQR,四分位极差,Q3,Q1",模块1
q025,choice,模块1-数据预处理与关联规则,频繁项集子集性质,2,所有频繁项集的子集也一定是频繁的，这是先验原理的直接推论。,对,错,,,A,0.0,,正确。这是先验原理的等价表述：频繁项集的子集必频繁（反蕴含关系）。因为子集的支持度 >= 超集的支持度，若超集满足min_sup，子集必然满足。,"频繁项集,子集,先验原理",模块1
q026,choice,模块1-数据预处理与关联规则,Apriori扫描次数,2,Apriori算法只需要扫描一次数据库即可找出所有频繁项集。,对,错,,,B,0.0,,错误。Apriori算法在生成每一层k-频繁项集时都需要扫描一次数据库来计算支持度，因此需要多次扫描（k次，k为最大频繁项集长度）。这正是其主要性能瓶颈之一。,"Apriori,多次扫描,数据库",模块1
q027,choice,模块1-数据预处理与关联规则,数据规约定义,2,数据规约是指删除所有包含缺失值的数据记录。,对,错,,,B,0.0,,错误。数据规约是在保持数据完整性的前提下减少数据量（如维规约、数量规约、压缩）。删除缺失值记录属于数据清理中的缺失值处理，不是数据规约。,"数据规约,缺失值,数据清理",模块1
q028,choice,模块1-数据预处理与关联规则,等深分箱,1,等深分箱（等频分箱）保证每个箱子包含的数据记录数量相同。,对,错,,,A,0.0,,正确。等深分箱（也称等频分箱）按记录数均匀划分，确保每个箱子中包含相同数量的数据记录，而不关心每个箱子的值域范围。,"等深分箱,等频分箱,记录数",模块1
q029,choice,模块1-数据预处理与关联规则,离群点判定标准,1,"使用IQR判定离群点的标准是：数据值落在 $[Q_1-1.5 \times IQR, Q_3+1.5 \times IQR]$ 范围之外的视为离群点。",对,错,,,A,0.0,,正确。这是标准的IQR离群点判定方法：下界为 $Q_1-1.5 \times IQR$，上界为 $Q_3+1.5 \times IQR$，超出此范围即为离群点。,"离群点,IQR,判定标准",模块1
q030,choice,模块1-数据预处理与关联规则,数据变换vs离散化,2,数据变换和离散化是完全相同的概念，可以互换使用。,对,错,,,B,0.0,,错误。数据变换是广义概念，包括平滑、聚集、归一化、离散化等多种方法。离散化只是数据变换的一种具体形式，两者是包含关系而非等同关系。,"数据变换,离散化,包含关系",模块1
q031,choice,模块1-数据预处理与关联规则,支持度公式N,2,在支持度公式 $s(X) = \sigma(X) / N$ 中，N代表包含项集X的事务数。,对,错,,,B,0.0,,错误。N代表数据库中的总事务数，而 $\sigma(X)$ 才是包含项集X的事务数。$s(X)$ 是X在总事务中出现的频率。,"支持度,N,总事务数",模块1
q032,choice,模块1-数据预处理与关联规则,关联规则vs分类,1,关联规则挖掘与分类任务是完全相同的机器学习任务。,对,错,,,B,0.0,,错误。关联规则挖掘是无监督学习方法，发现数据中项之间的有趣关系；分类是有监督学习方法，通过训练集学习模型来预测新数据的类别标签。两者目标和方法完全不同。,"关联规则,分类,无监督,有监督",模块1
q033,fill,模块1-数据预处理与关联规则,数据预处理四大类,1,数据预处理的四大类方法包括：数据清理、数据集成、数据变换、____。,,,,,数据规约,1.0,四个字，核心思想是减少数据量但保持完整性,数据预处理四大类：数据清理（处理缺失值、噪声等）、数据集成（合并多源数据）、数据变换（归一化、离散化等）、数据规约（维规约、数量规约等）。,"数据预处理,数据规约",模块1
q034,fill,模块1-数据预处理与关联规则,IQR公式,1,四分位极差IQR的计算公式为：$IQR =$ ____。,,,,,Q3-Q1,1.0,用Q3和Q1表示,IQR = Q3 - Q1，即第三四分位数减去第一四分位数，衡量中间50%数据的分布范围。,"IQR,四分位极差,Q3,Q1",模块1
q035,fill,模块1-数据预处理与关联规则,支持度公式,1,关联规则中项集X的支持度公式为：$s(X) =$ ____。,,,,,σ(X)/N,1.0,用σ(X)和N表示,支持度 $s(X) = \sigma(X) / N$，即包含项集X的事务数除以总事务数，反映X在数据集中出现的频率。,"支持度,公式,σ(X),N",模块1
q036,fill,模块1-数据预处理与关联规则,关联分析目标,2,关联规则挖掘的核心目标分两步：第一步发现____，第二步提取____。,,,,,频繁项集||强关联规则,2.0,第一步找出满足最小支持度的集合，第二步从中提取满足最小置信度的规则,关联分析两步走：①发现频繁项集（满足最小支持度阈值）；②从频繁项集中提取强关联规则（满足最小置信度阈值）。,"关联分析,频繁项集,强关联规则",模块1
q037,fill,模块1-数据预处理与关联规则,提升度含义,2,提升度Lift>1表示前件和后件之间存在____关系。,,,,,正相关,1.0,三个字，表示一个出现会促进另一个出现,Lift>1表示正相关，即前件的出现增加了后件出现的概率；Lift=1表示独立；Lift<1表示负相关。,"提升度,正相关,Lift",模块1
q038,fill,模块1-数据预处理与关联规则,Apriori先验原理,3,Apriori算法基于____原理进行剪枝，避免生成不必要的候选项集。,,,,,先验,1.0,两个字，即Apriori Property,先验原理（Apriori Property）是Apriori算法的核心：非频繁项集的超集必非频繁，据此可在生成候选项集时提前剪枝，大幅减少计算量。,"Apriori,先验原理,剪枝",模块1
q039,fill,模块1-数据预处理与关联规则,分箱法三种方式,2,分箱法的三种基本方式为：等宽分箱、____、等距分箱。,,,,,等深分箱,1.0,四个字，也称等频分箱,分箱法三种方式：等宽分箱（按值域宽度划分）、等深分箱（按记录数划分，也称等频分箱）、等距分箱（按固定间距划分）。,"分箱法,等深分箱,等频分箱",模块1
q040,fill,模块1-数据预处理与关联规则,离群点判定,2,使用IQR判定离群点：数据值小于____或大于____时视为离群点。,,,,,Q1-1.5×IQR||Q3+1.5×IQR,2.0,用Q1、Q3和IQR表示上下界,离群点判定标准：下界为 $Q_1-1.5 \times IQR$，上界为 $Q_3+1.5 \times IQR$。超出此范围的即为离群点。,"离群点,IQR,Q1,Q3",模块1
q041,choice,模块2-决策树与规则分类器,ID3划分标准,1,ID3决策树算法使用什么作为属性划分标准？,基尼系数（Gini Index）,信息增益（Information Gain）,信息增益率（Gain Ratio）,卡方检验（Chi-Square）,B,0.0,,ID3算法使用信息增益作为属性划分标准，选择信息增益最大的属性作为当前节点的测试属性。C4.5使用信息增益率，CART使用基尼系数。,"ID3,信息增益,划分标准",模块2
q042,choice,模块2-决策树与规则分类器,信息熵公式,1,信息熵的计算公式为？,$Info(D) = -\sum p_i \cdot \log_2(p_i)$,$Info(D) = \sum p_i \cdot \log_2(p_i)$,$Info(D) = 1 - \sum p_i^2$,$Info(D) = \sum p_i^2$,A,0.0,,信息熵公式 $Info(D) = -\sum p_i \cdot \log_2(p_i)$。选项C是基尼系数公式 $Gini = 1 - \sum p_i^2$。,"信息熵,公式,ID3",模块2
q043,choice,模块2-决策树与规则分类器,ID3偏向多值属性,2,ID3算法在选择划分属性时存在什么偏向？,偏向取值较少的属性,偏向取值较多的属性,偏向连续属性,无任何偏向，完全公平,B,0.0,,ID3使用信息增益选择属性，而信息增益天然偏向于选择取值较多的属性（如主键ID），因为取值越多通常信息增益越大。这是ID3的主要缺陷之一，C4.5通过信息增益率加以修正。,"ID3,偏向,多值属性,信息增益",模块2
q044,choice,模块2-决策树与规则分类器,ID3缺陷,2,ID3算法无法处理以下哪种情况？,离散属性,连续属性和缺失值,二分类问题,多分类问题,B,0.0,,ID3算法的主要缺陷：①无法处理连续属性（需预先离散化）；②无法处理缺失值；③偏向多值属性；④无剪枝功能。C4.5针对这些缺陷做了全面改进。,"ID3,连续属性,缺失值,缺陷",模块2
q045,choice,模块2-决策树与规则分类器,C4.5四大改进,2,C4.5相对于ID3的四大改进不包括以下哪一项？,使用信息增益率替代信息增益,能处理连续属性,引入随机森林集成策略,增加剪枝处理,C,0.0,,C4.5四大改进：①信息增益率替代信息增益；②能处理连续属性（二分法）；③能处理缺失值（F因子+权重分配）；④增加剪枝处理（后剪枝）。随机森林是独立的集成算法，不是C4.5的改进。,"C4.5,四大改进,ID3,随机森林",模块2
q046,choice,模块2-决策树与规则分类器,信息增益率公式,2,信息增益率（Gain Ratio）的计算公式是？,$GainRatio = Gain(A) \times SplitInfo(A)$,$GainRatio = Gain(A) / SplitInfo(A)$,$GainRatio = SplitInfo(A) / Gain(A)$,$GainRatio = Gain(A) - SplitInfo(A)$,B,0.0,,信息增益率 $GainRatio(A) = Gain(A) / SplitInfo(A)$，其中SplitInfo(A)用于惩罚取值较多的属性，从而修正ID3偏向多值属性的问题。,"信息增益率,GainRatio,SplitInfo",模块2
q047,choice,模块2-决策树与规则分类器,C4.5连续值处理,3,C4.5处理连续属性的正确步骤是？,直接使用连续值作为分裂点,排序→取相邻值的中点→二分法评估最佳分裂点,使用K-Means聚类后离散化,随机选取一个值作为分裂点,B,0.0,,C4.5处理连续属性：①对连续值排序；②取相邻值的中点（或较小值）作为候选分裂点；③将数据二分为小于等于和大于该分裂点两部分；④选择信息增益率最大的分裂点。,"C4.5,连续属性,二分法,分裂点",模块2
q048,choice,模块2-决策树与规则分类器,CART基尼系数,1,CART决策树使用什么作为划分标准？,信息增益,信息增益率,基尼系数（Gini Index）,均方误差,C,0.0,,CART（分类与回归树）使用基尼系数 $Gini = 1 - \sum p_i^2$ 作为分类树的划分标准。基尼系数越小，数据纯度越高。,"CART,基尼系数,Gini,划分标准",模块2
q049,choice,模块2-决策树与规则分类器,基尼系数与纯度,1,基尼系数与数据集纯度的关系是？,基尼系数越大，纯度越高,基尼系数越小，纯度越高,基尼系数与纯度无关,基尼系数恒为0.5，不反映纯度,B,0.0,,"基尼系数 $Gini = 1 - \sum p_i^2$，取值范围[0, 0.5]（二分类）。当所有样本属于同一类时Gini=0（纯度最高），当各类均匀分布时Gini最大（纯度最低）。","基尼系数,纯度,负相关",模块2
q050,choice,模块2-决策树与规则分类器,预剪枝vs后剪枝,2,关于预剪枝和后剪枝的区别，以下描述正确的是？,预剪枝在树构建完成后自底向上剪枝,后剪枝在树构建过程中提前停止生长,预剪枝在构建过程中提前停止，后剪枝在构建完成后自底向上剪枝,两者完全相同，只是叫法不同,C,0.0,,预剪枝（Pre-pruning）在决策树构建过程中提前停止分裂（如达到阈值）；后剪枝（Post-pruning）先让树完全生长，再自底向上用叶节点替换子树并评估效果。,"预剪枝,后剪枝,区别",模块2
q051,choice,模块2-决策树与规则分类器,决策树结构,1,决策树中，每个非叶子节点代表什么？,分类标签,对某个属性的测试条件,训练样本,最终决策结果,B,0.0,,决策树结构：根节点和非叶子节点代表对某个属性的测试条件，分支代表测试结果，叶节点代表分类标签（最终决策结果）。,"决策树,非叶子节点,测试条件",模块2
q052,choice,模块2-决策树与规则分类器,终止划分条件,2,决策树停止划分的终止条件不包括以下哪一项？,当前节点所有样本属于同一类,无剩余属性可用，采用多数表决,信息增益达到最大值,当前节点样本数小于阈值（预剪枝）,C,0.0,,终止条件：①节点样本全属同一类→标记为叶节点；②无剩余属性→多数表决；③预剪枝条件（如样本数不足、深度达上限）。信息增益最大不是终止条件，而是选择划分属性的依据。,"决策树,终止条件,叶节点",模块2
q053,choice,模块2-决策树与规则分类器,规则分类器性质,3,基于规则的分类器中，穷尽性（Exhaustive）和互斥性（Mutually Exclusive）的含义分别是？,穷尽性=每条记录至少匹配一条规则；互斥性=每条记录最多匹配一条规则,穷尽性=每条记录匹配所有规则；互斥性=每条记录不匹配任何规则,穷尽性=规则覆盖所有属性；互斥性=规则互不重叠,穷尽性=规则集合无冗余；互斥性=规则按优先级排序,A,0.0,,穷尽性：数据集中的每条记录至少被一条规则覆盖；互斥性：每条记录最多被一条规则覆盖。同时满足两者时，每条记录恰好被一条规则覆盖。,"穷尽性,互斥性,规则分类器",模块2
q054,choice,模块2-决策树与规则分类器,决策树转规则,2,决策树的每条从根到叶的路径可以直接转化为？,一条神经网络连接,一条IF-THEN分类规则,一个支持向量机超平面,一个贝叶斯概率公式,B,0.0,,决策树的每条根到叶路径对应一条IF-THEN分类规则：路径上的测试条件用AND连接作为IF部分，叶节点标签作为THEN部分。这就是树-规则等价性。,"决策树,IF-THEN,规则,路径",模块2
q055,choice,模块2-决策树与规则分类器,置信度比较性质,3,关于规则置信度的比较性质，以下描述正确的是？,添加前件条件会增加规则的置信度,若 $X \subseteq Z$，则 $conf(Z \rightarrow Y) \leq conf(X \rightarrow Y)$,若 $X \subseteq Z$，则 $conf(Z \rightarrow Y) \geq conf(X \rightarrow Y)$,置信度与前件复杂度无关,B,0.0,,置信度比较性质：当 $X \subseteq Z$ 时，$conf(Z \rightarrow Y) \leq conf(X \rightarrow Y)$。添加更多前件条件（更严格的约束）不会增加置信度，可能降低或保持不变。,"置信度,比较性质,前件,子集",模块2
q056,choice,模块2-决策树与规则分类器,信息增益公式,2,信息增益的计算公式为？,$Gain(A) = Info(D) + Info_A(D)$,$Gain(A) = Info(D) - Info_A(D)$,$Gain(A) = Info_A(D) - Info(D)$,$Gain(A) = Info(D) \times Info_A(D)$,B,0.0,,信息增益 $Gain(A) = Info(D) - Info_A(D)$，即原数据集的信息熵减去按属性A划分后的条件熵。信息增益越大，表示使用A划分后纯度提升越多。,"信息增益,信息熵,条件熵",模块2
q057,choice,模块2-决策树与规则分类器,条件熵计算,3,条件熵 $Info_A(D)$ 的计算方式是？,直接计算划分后各子集信息熵的最大值,按属性A各取值对应的样本量加权平均各子集的信息熵,计算划分后各子集信息熵的最小值,计算划分后各子集信息熵的几何平均值,B,0.0,,条件熵 $Info_A(D) = \sum_{j=1}^{v} \frac{|D_j|}{|D|} \times Info(D_j)$，即按属性A的每个取值v分别计算子集的信息熵，再以各子集样本比例加权平均。,"条件熵,加权平均,属性划分",模块2
q058,choice,模块2-决策树与规则分类器,SplitInfo作用,3,信息增益率中SplitInfo(A)的作用是？,放大信息增益，使选择更明确,惩罚取值较多的属性，避免偏向多值属性,计算属性A取值的均值,衡量属性A与类别标签的相关性,B,0.0,,SplitInfo(A)是属性A的'分裂信息'，$SplitInfo(A) = -\sum \frac{|D_j|}{|D|} \log_2(\frac{|D_j|}{|D|})$。属性取值越多，SplitInfo越大，作为分母会降低信息增益率，从而惩罚多值属性。,"SplitInfo,信息增益率,惩罚,多值属性",模块2
q059,choice,模块2-决策树与规则分类器,缺失值处理,4,C4.5算法中处理缺失值的方法不包括以下哪一项？,建树时引入F因子修正信息增益,分裂时将缺失值样本按权重分配到各子节点,直接删除所有含缺失值的样本,预测时使用概率加权的方式确定路径,C,0.0,,C4.5处理缺失值：①建树时用F因子（已知值比例）修正信息增益率；②分裂时将缺失值样本按权重分配到各分支；③预测时沿多分支概率加权。直接删除是简单粗暴的方法，不是C4.5的做法。,"C4.5,缺失值,F因子,权重分配",模块2
q060,choice,模块2-决策树与规则分类器,后剪枝过程,3,后剪枝的基本过程是？,在构建树时提前设定最大深度,让树完全生长后，自底向上尝试用叶节点替换子树并评估,从根节点开始逐层删除分支,随机删除一定比例的叶子节点,B,0.0,,后剪枝：先让决策树完全生长，然后自底向上检查每个非叶节点——尝试将其替换为叶节点（多数类），若替换后在验证集上性能不降低则执行剪枝。,"后剪枝,自底向上,子树替换",模块2
q061,choice,模块2-决策树与规则分类器,信息增益偏向,2,信息增益天然偏向于选择多值属性，这是因为？,多值属性总是与类别标签高度相关,多值属性划分后每个子集更纯（甚至每个子集只有一个样本），导致条件熵趋近于0,多值属性的计算复杂度更低,多值属性的信息熵天然更大,B,0.0,,多值属性（如ID）划分后每个子集样本极少甚至唯一，信息熵接近0，条件熵也接近0，导致信息增益极大。但这并不代表该属性有好的泛化能力，只是过拟合训练数据。,"信息增益,多值属性,偏向,过拟合",模块2
q062,choice,模块2-决策树与规则分类器,决策树可解释性,1,决策树被称为'白盒模型'是因为？,决策树使用白色背景的界面,决策树的决策过程可以通过路径规则直观理解和解释,决策树内部使用白噪声进行训练,决策树只处理白天的数据,B,0.0,,决策树是白盒模型（可解释模型），因为其决策过程可以通过从根到叶的路径规则直观理解，每步划分都有明确的逻辑。相比之下，神经网络是黑盒模型。,"决策树,白盒模型,可解释性",模块2
